company,description,experience,location,salary,technologies,title
Quod Financial,"<div class=""b-typo vacancy-section"">
				<p><b>Must have:</b></p><ul><li>At lest 6 months of working with Python/Bash or any other scripting language</li><li>Strong knowledge of testing methodology</li><li>At least 12 months experience with Linux back-end (command line)</li><li>Experience in writing test documentation</li><li>At least 6 months experience in testing</li><li>Basic knowledge of SQL</li><li>Spoken English intermediate+</li></ul><p><strong>Nice to have:</strong></p><ul><li>Experience with Git</li><li>Experience with bug-tracking systems (Jira)</li></ul><p><b>Responsibilities:</b></p><ul><li>Analyze new functionality, create test cases, and execute tests</li><li>Starting year 2 create auto-tests using Python</li><li>Manual tests across different releases</li><li>Integrate API’s with other components (manual deployment) on Linux back-end</li><li>Upgrade testing environment using Jenkins jobs and sometimes manually on Linux back-end</li><li>Run regression testing, analyze results, and raise reports</li><li>Starting year 2 work on test framework with the QA team</li><li>Communicate with colleagues from Paris and London (developers, project managers, product owners)</li></ul><p><strong>We offer:</strong></p><ul><li>Work on the company’s own product — a trading platform (you will work in a Forex team)</li><li>Very technical and complex product, therefore, you should be a technical person</li><li>Annual paid vacation 20 working days and 10 days of sick leave</li><li>Medical insurance</li><li>The warm and friendly working atmosphere</li><li>Work in an international team</li><li>Stable, long-term project</li><li>Remote work in Ukraine or office in Gdansk (Poland)</li><li>A big QA team of 30 people</li><li>Type of contract — Gig contract (Diia city)</li><li>Ukrainian public holidays — days off</li><li>Corporate laptop and ecoflow if needed</li></ul><p><strong>Hiring Process Steps:</strong></p><ol><li>Technical test — 20 min (Python + testing)</li><li>HR interview — 30 min</li><li>Technical interview with a QA Manager and Team Member — 60 min</li><li>Interview with Team Leader and Scrum Master — 60 min (in English)</li></ol><p><strong>If your CV is relevant to this position our recruiting team will contact you within 5 working days</strong></p><p>Please, note that half of Quod’s Ukrainian team is from Kharkiv and speaks russian, including some recruiters and hiring managers. You are free to speak Ukraininan, russian, and English, but if the language question is very important to you, Quod may not be the best fit for you.</p>
			</div>",0-1 years," Гданськ (Польща), віддалено",,"python,git,jenkins,linux,bash",QA General (Trainee/Junior) with Python
bART Solutions,"<div class=""b-typo vacancy-section"">
				<p>About us:<br><strong>bART </strong>Solutions is a Ukraine based provider of software development outsourcing services. It was established by enterprising professionals with years of experience in IT sphere.<br>Being a custom software development company, we are specializing in the web, mobile and desktop development.<br><br><strong>Location: onle Lviv</strong> <br><br>Requirements:<br>— At least 1 years of commercial experience with Python;<br>— Proficiency in Django framework;<br>— Experience with AWS, Alembic, React;<br>— Strong understanding of relational databases (preferably PostgreSQL);<br>— Familiarity with ControlPanel and GitHub;<br>— Good communication and problem-solving skills;<br>— English Upper-Intermediate or better.<br><br><br>Responsibilities:<br>— Develop and maintain the backend of the platform using Django;<br>— Collaborate with cross-functional team to design and implement new features;<br>— Optimize application performance and troubleshoot issues;<br>— Ensure security and data privacy compliance, especially regarding sensitive medical data;<br>— Ensure code quality through unit testing and code reviews.<br><br><br>What will you get from bART?<br>— Flexible working hours<br>— A competitive salary<br>— Regular performance reviews<br>— Paid vacation (15 working days) and national holidays + 8 sick leaves<br>— Corporate English language classes<br>— An inspiring and comfy office near to the city center (Lviv)<br>— People-oriented management without bureaucracy<br>— Corporate events and outstanding parties<br>If you want to join our team, please send your CV</p>
			</div>",0-1 years, Львів,,"python,django,git,postgresql,aws,react",Junior Python Engineer
Stylus,"<div class=""b-typo vacancy-section"">
				<p><strong>Хто ми? </strong>— ми <a href=""http://Stylus.ua"" target=""_blank"">Stylus.ua</a></p><p><strong>Чим ми займаємося?</strong> — ми інтернет магазин з найширшим асортиментом товарів. Також ми маємо offline магазини, точки видачі та сервісні центри у багатьох куточках України.</p><p> </p><p><strong>Кого ми шукаємо? </strong>— ми шукаємо талановитого <strong>Python Engineer</strong>.</p><p> </p><p><strong>Твої обов’язки:</strong> <br>💻 З поточних задач:<br>— розробка нового функціонала, інтеграція зі сторонніми сервісами: банки, телефонія тощо<br>— переписування коду з Django на FastAPI<br>— нові архітекрутрні рішення: cdn, cache, мікросервісна архітекрута тощо</p><p> </p><p><strong>Технологічний стек:</strong> <br>✅ Back-end: Python, FastAPI, Django, GraphQL, PostgreSQL, MariaDB, Redis, Celery, pytest.<br>✅ Front-end: React, Typescript, Apollo, Redux.<br>✅ Infrastructure: Docker, Kubernetes, AWS, Terraform, ArgoCD, GitHub Actions.</p><p> </p><p><strong>Наша культура:</strong> <br>⏱️ Немає мікроменеджменту та тайм-трекерів, довіра в команді перш за все.<br>💡 Кожен в команді має можливість приймати ключові продуктові на технічні рішення.<br>✅ Маємо стиль кодування, налаштовані лінтери та прагнемо покривати всю кодову базу тестами.<br>🆙 Заохочуємо розробників працювати над інфраструктурою і розбиратися як працюють DevOps-процеси.</p><p> </p><p><strong>Вимоги:</strong> <br>✅ Досвід програмуванням на Python.<br>✅ Знання реляційних баз даних (індекси, нормалізація, Joins, raw SQL, profiling).<br>✅ Знання структурних, архітектурних та дизайн паттернів, best practices тощо.<br>✅ Високий рівень автономності, проактивність, ownership, strong verbal and writing skills.</p><p> </p><p><strong>Буде перевагою, але не обовʼязково:</strong></p><p>✅ Комерційний досвід в e-commerce.<br>✅ Практичний досвід з GraphQL.<br>✅ Досвід з DevOps-інструментами та практиками.</p><p> </p><p><strong>Якщо тебе зацікавила вакансія і ти маєш релевантний досвід, надсилай своє CV, ми обов’язково надамо зворотній зв’язок протягом кількох днів</strong>.</p>
			</div>",1-3 years," Київ, за кордоном, віддалено",,"python,django,fastapi,docker,kubernetes,git,postgresql,redis,celery,aws,graphql,pytest,react,fastapi",Python Engineer
Infineon Technologies,"<div class=""b-typo vacancy-section"">
				<p>Would you like to work at a global company and develop your skills in an agile team of experts? Then, we have an exciting challenge for you! Apply now to join our growing team at Infineon Lviv as Software Engineer Working Student.</p><p><strong>Candidate’s profile:</strong></p><p>— at least 1 year of work experience as an engineer<br>— knowledge of MCU + C/Python programming languages<br>— bachelor degree in computer science or equivalent<br>— basic skills of time management and problem solving</p><p><strong>Main tasks:</strong></p><p>— Develop a Boot FW and associated software</p><p><b>We offer:</b> <br><br>— Medical Insurance<br>— 20 days of paid vacation<br>— Unlimited sick leaves<br>— Accounting Services<br>— Bonuses<br>— Wide range of training offers and planning of career development<br>— International assignments<br>— Flexible Working Conditions<br>— Free English classes during the business hours<br>— Education compensation<br>— Travel<br>— Free parking zone (cars, bicycles, electric cars)<br>— IT Cluster membership.</p>
			</div>",0-1 years, Львів,,"python,agile",Student job: Software Engineer
Astronics CSC,"<div class=""b-typo vacancy-section"">
				<p>— Python, Linux (Ubuntu, Yocto, Debian), MySQL, SQLLite<br>— Knowledge of the principles OOD, understanding of SOLID principles<br>— RESTful API<br>— Version control systems (git), jira</p>
			</div> <div class=""b-typo vacancy-section"">
					<p>Будет плюсом<br>— AI background<br>— AWS</p>
				</div> <div class=""b-typo vacancy-section"">
					<p>— Comfortable working conditions: newly renovated office / tea / coffee / cookies / games room<br>— Corporate events and teambuilding<br>— Young and positive team</p>
				</div> <div class=""b-typo vacancy-section"">
					<p>— start/develop project(s) from scratch</p>
				</div> <div class=""b-typo vacancy-section"">
					<p>entertainment system for civil aviation</p>
				</div>",0-1 years, Львів,$800,"python,git,linux,mysql,aws",Junior/Middle Python Developer
EPAM,"<div class=""b-typo vacancy-section"">
				<p>Are you ready to elevate your Python engineering skills and transition into the exciting field of Machine Learning? EPAM is offering a unique opportunity where you can secure a position after a single technical interview and gain Machine Learning expertise without affecting your title or compensation.</p><p>We are seeking a <strong>Python Software Engineer </strong>to participate in a retraining program focused on advanced AI applications. This role involves exploring the principles of machine learning, deploying ML systems, and gaining hands-on experience with leading cloud platforms.</p><p>During the program you will: Familiarize yourself with machine learning principles, the evolution of AI, and practical applications of neural networks and Natural Language Processing (NLP), including Large Language Models like GPT. Focus on deploying and operating cutting-edge ML and AI systems. Learn best practices for scaling models, managing data pipelines, and troubleshooting operational challenges. Gain hands-on experience with Databricks for system deployment and operations. Dive into deployment intricacies on major cloud platforms: AWS, Azure, and GCP. Understand the MLE/MLOps practices used by EPAM and the solutions we offer to our clients.</p><p><strong>The remote option applies only to the Candidates who will be working from any location in Ukraine.</strong></p><p><br><b>#LI-DNI</b></p><h3>Responsibilities</h3><ul><li>Familiarize yourself with machine learning principles, the evolution of AI, and practical applications of neural networks and Natural Language Processing (NLP), including Large Language Models like GPT</li><li>Focus on deploying and operating cutting-edge ML and AI systems. Learn best practices for scaling models, managing data pipelines, and troubleshooting operational challenges</li><li>Gain hands-on experience with Databricks for system deployment and operations</li><li>Dive into deployment intricacies on major cloud platforms: AWS, Azure, and GCP</li><li>Understand the MLE/MLOps practices used by EPAM and the solutions we offer to our clients</li></ul><h3>Requirements</h3><ul><li>Minimum of 3 years in a production environment (Middle+ level)</li><li>Proficiency in Python</li><li>Core knowledge of Machine Learning</li><li>Experience with at least one cloud platform (preferably Azure, followed by AWS or GCP)</li><li>English proficiency — B2</li></ul><h3>We offer</h3><ul><li>Work on a flexible schedule remotely or from any of our comfortable offices or coworking spaces in Ukraine</li><li>Receive the necessary equipment to perform your work tasks</li><li>Change projects and technology stacks within EPAM</li><li>Gain experience in various business domains (Insurance, E-commerce, Healthcare, Finance, Travelling, Media, Artificial Intelligence, and more)</li><li>Consider relocation options in over 30 countries worldwide</li><li>Participate in volunteer, charity programs and communities (both technical and interest-based)</li><li>You can plan your individual career path together with your manager</li><li>Receive regular feedback from colleagues</li><li>Improve your English for free with certified teachers (Speaking Clubs, client interview preparation courses, etc.)</li><li>Get the opportunity to undergo free training and certification in AWS, GCP, or Azure Clouds</li><li>Use the internal E-learn training program (18,200+ specialized training and mentoring programs)</li><li>Access corporate accounts on LinkedIn Learning, Get Abstract and other partner resources</li><li>Study at EPAM Solution Architecture School with the instructors who are practicing architects</li><li>Develop as a leader, join Delivery Management, Resource Management, Leadership Essentials school and more</li><li>Participate in internal communities (500+ meetups, technical discussions, brainstorming sessions, online events and conferences annually)</li><li>Vacation and sick leave (including a sick leave without a medical certificate)</li><li>A wide range of Voluntary Medical Insurance programs providing both medical treatment and various preventive options (including sports activities)</li><li>Medical insurance for family members at corporate rates</li><li>Company support during significant life events (childbirth or adoption, marriage, etc.)</li><li>Support for psychological comfort: discounts on services from mental health specialists or coaches, thematic training</li><li>E-kids program — a free programming language training program for EPAMers’ children</li></ul><p>EPAM strives to provide its global team of over 52,800+ professionals in more than 55 countries with opportunities for professional growth from day one of collaboration. Our colleagues are the source of EPAM's success, so we value cooperation, strive to always understand our clients' business and aim for the highest quality standards. No matter where you are, you will join a dedicated, diverse community that will help you realize your potential to the fullest.</p>
			</div>",3-5 years," Київ, Харків, Львів, Дніпро, Одеса, Вінниця, Івано-Франківськ, Хмельницький, Житомир, Ужгород, Черкаси, Чернівці, віддалено",,"python,aws,azure,gcp,machine learning",Python Software Engineer for Machine Learning Retraining
IGIS,"<div class=""b-typo vacancy-section"">
				<h3><b>Company Description:</b></h3><p>At Ceres, we’re building the world’s most advanced data analytics platform for agriculture. We believe the future of agriculture depends on building the right tools to help farmers, insurers, lenders, and sustainability partners make the most of their limited resources. We are a science-driven organization with a vision of sustainable agriculture that works for farmers.</p><h3><b>The Role:</b></h3><p>We are seeking a backend engineer with 3+ years of software engineering experience who can help us maintain and build internal tooling for our global team of GIS analysts that allows us to scale our existing business and integrate new products into the product delivery pipeline. As a member of our team, you’ll:</p><ul><li>Work closely with our analysts to understand and implement their requested changes to existing geospatial workflows/pipelines </li><li>Identify opportunities to streamline processes and make them faster and more scalable</li><li>Cooperate with other engineers to ensure that you’re implementing tools that will function well within a complex and integrated environment of automated data processing pipelines, human-in-the-loop imagery processing, and all the necessary data management tools that enable us to acquire and process tens of thousands of acres of aerial imagery each day</li><li>Collaborate with our scientists to help bring their proof-of-concept analyses to life by fully operationalizing them and ensuring we can deliver at scale</li><li>Monitor and troubleshoot processing issues </li><li>Write clean, readable, code that is maintainable over time</li></ul><h3><b>Skills:</b></h3><p><i>Required Skills</i></p><ul><li>Strong knowledge of Python</li><li>Proficiency with backend frameworks (Django preferred)</li><li>Proficiency in front-end technologies, particularly React</li><li>Strong communication skills — you’ll be collaborating with a variety of teams with differing technical backgrounds</li><li>English language competency</li></ul><p><i>Nice to Have</i></p><ul><li>Familiarity with geospatial tools (QGIS, python-based raster processing libraries such as rasterio and geopandas)</li><li>Experience with cloud platforms (AWS, Google Cloud)</li></ul><h3><b>Employee benefits:</b></h3><ul><li>Flexible schedule: <nobr>8-hour</nobr> work day with opportunity to work remotely</li><li>Comfortable office within walking distance of a metro station</li><li>Work closely with an international team</li><li>Registration in the format within DiiaCity (Gig-contract)</li><li>Free health insurance after a probationary period</li></ul>
			</div>",5+ years," Київ, віддалено",$3000,"python,django,aws,scala,pandas,react",Senior Backend Engineer
Yellow Stone,"<div class=""b-typo vacancy-section"">
				<p>В зв’язку з розширенням команди, ми шукаємо <strong>Python Developer</strong>, який буде працювати в тісній співпраці з командою Data Science, щоб інтегрувати готові рішення, покращувати мікросервіси та оптимізувати процеси обробки даних.</p><p><strong>Основні обов’язки: </strong></p><ul><li>Інтеграція та оптимізація Data Science рішень на Python;</li><li>Розробка, підтримка та рефакторінг мікросервісів на FastAPI для забезпечення високої ефективності;</li><li> Написання скриптів та допомога аналітикам у створенні репортів за допомогою Jupyter Notebook;</li><li>Взаємодія з іншими членами команди для визначення ефективних механізмів інтеграції даних.</li></ul><p><strong>Що ми очікуємо:</strong></p><ul><li> 2 + роки досвіду комерційної розробки на Python;</li><li>Вміння проектувати та розробляти нескладні веб-сервіси;</li><li>Знання Python 3+, PostgreSQL, Docker, AWS;</li><li>Досвід роботи з MySQL, Clickhouse, S3 — розуміння, як працювати з даними;</li><li>Глибоке знання бібліотек Pandas та NumPy для обробки даних;</li><li>Досвід роботи з Jupyter Notebook для автоматизації аналітичних процесів;</li><li>Готовність працювати з кодом, який писали спеціалісти без технічного бекграунду, ефективно розбирати та покращувати його. </li></ul><p><b>Ми пропонуємо:</b></p><ul><li>20 днів оплачуваної відпустки — для підтримки балансу між роботою та особистим життям;</li><li>12 sick days, адже ми розуміємо, що ваше здоров’я має бути на першому місці;</li><li>Медичне страхування та компенсацію лікарняних днів;</li><li>Вихідні на державні свята, щоб насолоджуватися додатковим відпочинком;</li><li>Можливості для розвитку та підвищення кваліфікації в одній з найбільших компаній на ринку;</li><li>Внутрішні курси та тренінги для покращення ваших професійних навичок;</li><li>Підтримку ментального здоров’я — доступ до корпоративного психолога;</li><li>Сучасний офіс зі стабільним інтернетом та генератором для безперебійної роботи;</li><li>Підтримку корпоративної волонтерської діяльності та участь у благодійних акціях;</li><li>Позитивну атмосферу та корпоративні подарунки.</li></ul><p><b>Надсилайте ваше резюме — будемо раді познайомитись!</b></p>
			</div>",3-5 years," Київ, за кордоном, віддалено",,"python,fastapi,docker,postgresql,mysql,aws,pandas,numpy,fastapi",Рython developer
Droppity,"<div class=""b-typo vacancy-section"">
				<p>We are looking for a talented Middle to Senior-level Python Developer with Django experience to join our team in building a next-generation IoT controller dashboard and control panel. In this role, you will develop, optimize, and maintain backend systems to support our advanced IoT devices, working closely with frontend and embedded teams to create an efficient and secure platform.</p><p><strong>Key Responsibilities:</strong></p><ul><li>Design, develop, and maintain robust backend systems using Django for IoT control and monitoring</li><li>Implement and optimize RESTful APIs and WebSocket communication for real-time data handling</li><li>Integrate MQTT protocols to support seamless communication with IoT devices</li><li>Develop secure authentication and authorization layers using OAuth2 and JWT for data protection and access control</li><li>Collaborate with frontend developers to ensure seamless data flow and UI integration</li><li>Work with embedded engineers to manage data communication and control between the backend and IoT devices</li><li>Optimize code for performance, scalability, and security</li><li>Debug, test, and troubleshoot to ensure system reliability and accuracy</li></ul><p><strong>Requirements:</strong></p><ul><li>Proven experience in backend development with Python, particularly with Django</li><li>Strong understanding of RESTful API design, WebSocket, and MQTT for real-time communication</li><li>Experience implementing authentication with OAuth2 and token-based authorization using JWT</li><li>Experience with databases (PostgreSQL, MySQL) and ORM frameworks</li><li>Familiarity with Docker, Git, and CI/CD pipelines</li><li>Knowledge of data serialization formats (e.g., JSON, XML) and handling real-time data</li></ul><p><strong>Preferred Skills (Plus):</strong></p><ul><li>Experience with IoT platforms, protocols, or data handling</li><li>Familiarity with embedded systems or devices, including data flow between IoT devices and backend systems</li><li>Knowledge of data visualization tools or libraries</li><li>Experience with cloud platforms (e.g., AWS, Azure) and deployment</li></ul>
			</div>",1-3 years," за кордоном, віддалено",,"python,django,docker,git,ci/cd,postgresql,mysql,aws,azure,scala,data visualization,oauth,jwt",Middle to Senior Python Developer for IoT Controller Project
"P-Product, Inc.","<div class=""b-typo vacancy-section"">
				<p>We are searching for team player who are enthusiastic about their work, able to do rapid development while focusing on high-quality delivery, and who meet the following requirements:</p><p><b>Key Responsibilities:</b></p><ul><li>Support, optimize, and develop our backend.</li><li>Develop new product functionality and improve existing features.</li><li>Work with Geographic Information Systems (GIS) using QGIS.</li><li>Develop and optimize services.</li></ul><p><b>Required Skills:</b></p><ul><li>3+ years of experience as a Python Backend Engineer</li><li>Amazon Web Services (AWS): Understand ECR, S3, EC2, and EKS; deep knowledge of all services is not required, but a general understanding of AWS is important.</li><li>Containerization: Docker, Kubernetes.</li><li>Databases: PostgreSQL.</li><li>Task Queues: RabbitMQ.</li><li>Programming Language: Python 3.12+.</li><li>Web Frameworks: Django 3+.</li><li>Background Task Frameworks: Celery.</li><li>Version Control System: Git.</li></ul><p><b>Will be a plus:</b></p><ul><li>Web Frameworks: Django REST Framework, FastAPI.</li><li>Python Libraries: Pandas, GeoPandas, NumPy, GDAL, OSGeo.</li><li>Databases: Redis, PostGIS, MongoDB.</li><li>CI/CD: GitLab, ArgoCD.</li></ul>
			</div>",3-5 years, віддалено,,"python,django,fastapi,docker,kubernetes,git,ci/cd,postgresql,mongodb,redis,celery,rabbitmq,aws,pandas,numpy,fastapi",Backend Engineer
